"ID_CLIENT","NOM","PRENOM","DATE_NAISSANCE","EMAIL","ADRESSE"
4148996304,"Fortenberry","Jackson",16/02/1988,"Jackson.Fortenberry@gmail.com",6115
115611252,"Box","Misti",16/10/1941,"Misti.Box@example.com",3891
2464876455,"Adam","Carl",09/12/1961,"Carl.Adam@gmail.com",10303
8741385692,"Mclain","Xavier",14/05/1941,"Xavier.Mclain@yahoo.com",7364
9741385690,"Boyce","Bernetta",28/05/1957,"Bernetta.Boyce@nomail.com",2548
1115611253,"Adame","Royal",12/05/1989,"Royal.Adame@gmail.com",6116
8741385693,"Crosby","Alethia",14/02/1940,"Alethia.Crosby@gmail.com",1171
9741385691,"Penny","Carleen",07/05/1996,"Carleen.Penny@gmail.com",2172
3464876456,"Waterman","Basil",29/07/1969,"Basil.Waterman@gmail.com",10304
115611253,"Mclaughlin","Alton",08/03/1940,"Alton.Mclaughlin@example.com",1172
6846085281,"Peoples","Luciana",20/07/1940,"Luciana.Peoples@yahoo.com",8405
1115611254,"Isom","Emmanuel",31/07/1966,"Emmanuel.Isom@yahoo.com",2549
115611254,"Fortier","Althea",30/01/1940,"Althea.Fortier@example.com",7365
5148996305,"Snead","Christian",11/04/1969,"Christian.Snead@example.com",10305
2464876456,"Mclaurin","Augustine",18/12/1943,"Augustine.Mclaurin@gmail.com",9403
7846085282,"Boyd","Kiersten",28/02/1955,"Kiersten.Boyd@example.com",6117
1115611255,"Maas","Glen",16/01/1980,"Glen.Maas@gmail.com",7366
8741385694,"Cross","Romona",25/02/1980,"Romona.Cross@yahoo.com",8406
4148996305,"Waters","Jeanelle",22/01/1948,"Jeanelle.Waters@nomail.com",10306
3464876457,"Adams","Deandre",20/11/1974,"Deandre.Adams@yahoo.com",2550
6846085282,"Ison","Alina",19/01/1961,"Alina.Ison@gmail.com",2173
9741385692,"Mabe","Lecia",18/12/1984,"Lecia.Mabe@example.com",1173
5148996306,"Iverson","Garth",08/03/1976,"Garth.Iverson@gmail.com",2174
4148996306,"Pepper","Cameron",04/08/1983,"Cameron.Pepper@yahoo.com",1174
5148996307,"Fortin","Adelaida",02/10/1949,"Adelaida.Fortin@nomail.com",6118
115611255,"Mclean","Rene",26/05/1984,"Rene.Mclean@nowhere.com",2891
2464876457,"Sneed","Lynna",02/02/1941,"Lynna.Sneed@yahoo.com",7367
1115611256,"Boyer","Elza",24/04/1949,"Elza.Boyer@gmail.com",9404
7846085283,"Adamson","Wilburn",25/12/1965,"Wilburn.Adamson@nowhere.com",3892
8741385695,"Croteau","Leo",31/03/1961,"Leo.Croteau@example.com",10307
9741385693,"Fortner","Jody",29/05/1950,"Jody.Fortner@yahoo.com",7368
3464876458,"Perales","Corie",08/09/1966,"Corie.Perales@nomail.com",2892
2464876458,"Watkins","Denver",06/05/1958,"Denver.Watkins@yahoo.com",8407
115611256,"Mclemore","Karine",26/01/1940,"Karine.Mclemore@gmail.com",9405
6846085283,"Peralta","Alethea",09/01/1953,"Alethea.Peralta@nomail.com",10308
1115611257,"Mabry","Victor",29/08/1996,"Victor.Mabry@example.com",3893
115611257,"Mclendon","Alaine",07/11/1969,"Alaine.Mclendon@example.com",8408
4148996307,"Perdue","Kip",31/10/1943,"Kip.Perdue@nowhere.com",2175
1115611258,"Crouch","Adrianna",05/08/1948,"Adrianna.Crouch@example.com",2893
115611258,"Ives","Mickey",14/01/1940,"Mickey.Ives@nomail.com",3894
3464876459,"Mcleod","Brice",19/01/1967,"Brice.Mcleod@nomail.com",9406
5148996308,"Fortune","Ted",08/06/1941,"Ted.Fortune@nowhere.com",2551
1115611259,"Macdonald","Abdul",13/02/1940,"Abdul.Macdonald@example.com",7369
2464876459,"Pereira","Arielle",25/03/1979,"Arielle.Pereira@example.com",6119
4148996308,"Snell","Takisha",21/12/1973,"Takisha.Snell@nowhere.com",2552
115611259,"Boykin","Abbie",05/07/2000,"Abbie.Boykin@gmail.com",8409
7846085284,"Watson","Armandina",26/11/1977,"Armandina.Watson@gmail.com",10309
8741385696,"Adcock","Cythia",27/03/1940,"Cythia.Adcock@example.com",7370
6846085284,"Boyle","Nestor",28/06/1992,"Nestor.Boyle@gmail.com",9407
9741385694,"Addison","Jina",13/07/1975,"Jina.Addison@yahoo.com",2894
8741385697,"Snider","Kelley",23/05/1982,"Kelley.Snider@gmail.com",3895
9741385695,"Watt","Sindy",09/05/1943,"Sindy.Watt@nowhere.com",8410
7846085285,"Ivey","Stephen",17/10/1961,"Stephen.Ivey@example.com",2895
6846085285,"Snipes","Gertrude",24/05/1957,"Gertrude.Snipes@yahoo.com",10310
5148996309,"Mcmahan","Isaias",14/05/1975,"Isaias.Mcmahan@nowhere.com",9408
7846085286,"Boyles","Renay",03/01/1941,"Renay.Boyles@gmail.com",3896
1115611260,"Adkins","Newton",13/06/1974,"Newton.Adkins@nomail.com",6120
8741385698,"Perez","Jacqui",14/04/1971,"Jacqui.Perez@example.com",2553
